lambda	class
7.427600000e-01	2
7.428000000e-01	2
7.428400000e-01	2
7.428800000e-01	2
7.429200000e-01	2
7.429600000e-01	2
7.430000000e-01	2
7.430400000e-01	2
7.430800000e-01	2
7.431200000e-01	2
7.431600000e-01	2
7.432000000e-01	2
7.432400000e-01	2
7.432800000e-01	2
7.433200000e-01	2
7.433600000e-01	2
7.434000000e-01	2
7.434400000e-01	2
7.434800000e-01	2
7.435200000e-01	2
7.435600000e-01	2
7.436000000e-01	2
7.436400000e-01	2
7.436800000e-01	2
7.437200000e-01	2
7.437600000e-01	2
7.438000000e-01	2
7.438400000e-01	2
7.438800000e-01	2
7.439200000e-01	2
7.439600000e-01	2
7.440000000e-01	2
7.440400000e-01	2
7.440800000e-01	2
7.441200000e-01	2
7.441600000e-01	2
7.442000000e-01	2
7.442400000e-01	2
7.442800000e-01	2
7.443200000e-01	2
7.443600000e-01	2
7.444000000e-01	2
7.444400000e-01	2
7.444800000e-01	2
7.445200000e-01	2
7.445600000e-01	2
7.446000000e-01	2
7.446400000e-01	2
7.446800000e-01	2
7.447200000e-01	2
7.447600000e-01	2
7.448000000e-01	2
7.448400000e-01	2
7.448800000e-01	2
7.449200000e-01	2
7.449600000e-01	2
7.450000000e-01	2
7.450400000e-01	2
7.450800000e-01	2
7.451200000e-01	2
7.451600000e-01	2
7.452000000e-01	2
7.452400000e-01	2
7.452800000e-01	2
7.453200000e-01	2
7.453600000e-01	2
7.454000000e-01	2
7.454400000e-01	2
7.454800000e-01	2
7.455200000e-01	2
7.455600000e-01	2
7.456000000e-01	2
7.456400000e-01	2
7.456800000e-01	2
7.457200000e-01	2
7.457600000e-01	2
7.458000000e-01	2
7.458400000e-01	2
7.458800000e-01	2
7.459200000e-01	2
7.459600000e-01	2
7.460000000e-01	2
7.460400000e-01	2
7.460800000e-01	2
7.461200000e-01	2
7.461600000e-01	2
7.462000000e-01	2
7.462400000e-01	2
7.462800000e-01	2
7.463200000e-01	2
7.463600000e-01	2
7.464000000e-01	2
7.464400000e-01	2
7.464800000e-01	2
7.465200000e-01	2
7.465600000e-01	2
7.466000000e-01	2
7.466400000e-01	2
7.466800000e-01	2
7.467200000e-01	2
7.467600000e-01	2
7.468000000e-01	2
7.468400000e-01	2
7.468800000e-01	2
7.469200000e-01	2
7.469600000e-01	2
7.470000000e-01	2
7.470400000e-01	2
7.470800000e-01	2
7.471200000e-01	2
7.471600000e-01	2
7.472000000e-01	2
7.472400000e-01	2
7.472800000e-01	2
7.473200000e-01	2
7.473600000e-01	2
7.474000000e-01	2
7.474400000e-01	2
7.474800000e-01	2
7.475200000e-01	2
7.475600000e-01	2
7.476000000e-01	2
7.476400000e-01	2
7.476800000e-01	2
7.477200000e-01	2
7.477600000e-01	2
7.478000000e-01	2
7.478400000e-01	2
7.478800000e-01	2
7.479200000e-01	2
7.479600000e-01	2
7.480000000e-01	2
7.480400000e-01	2
7.480800000e-01	2
7.481200000e-01	2
7.481600000e-01	2
7.482000000e-01	2
7.482400000e-01	2
7.482800000e-01	2
7.483200000e-01	2
7.483600000e-01	2
7.484000000e-01	2
7.484400000e-01	2
7.484800000e-01	2
7.485200000e-01	2
7.485600000e-01	2
7.486000000e-01	2
7.486400000e-01	2
7.486800000e-01	2
7.487200000e-01	2
7.487600000e-01	2
7.488000000e-01	2
7.488400000e-01	2
7.488800000e-01	2
7.489200000e-01	2
7.489600000e-01	2
7.490000000e-01	2
7.490400000e-01	2
7.490800000e-01	2
7.491200000e-01	2
7.491600000e-01	2
7.492000000e-01	2
7.492400000e-01	2
7.492800000e-01	2
7.493200000e-01	2
7.493600000e-01	2
7.494000000e-01	2
7.494400000e-01	2
7.494800000e-01	2
7.495200000e-01	2
7.495600000e-01	2
7.496000000e-01	2
7.496400000e-01	2
7.496800000e-01	2
7.497200000e-01	2
7.497600000e-01	2
7.498000000e-01	2
7.498400000e-01	2
7.498800000e-01	2
7.499200000e-01	2
7.499600000e-01	2
7.500000000e-01	2
7.500400000e-01	2
7.500800000e-01	2
7.501200000e-01	2
7.501600000e-01	2
7.502000000e-01	2
7.502400000e-01	2
7.502800000e-01	2
7.503200000e-01	2
7.503600000e-01	2
7.504000000e-01	2
7.504400000e-01	2
7.504800000e-01	2
7.505200000e-01	2
7.505600000e-01	2
7.506000000e-01	2
7.506400000e-01	2
7.506800000e-01	2
7.507200000e-01	2
