N	x	y
1607	-41	-7
1608	26	7
1609	-4	39
1610	26	-24
1611	-38	-5
1612	0	40
1613	1	-26
1614	2	27
1615	35	-2
1616	-38	10
1617	-5	39
1618	5	-34
1619	-29	1
1620	-43	8
1621	-13	-13
1622	-23	40
1623	-45	-1
1624	-42	-7
1625	-16	27
1626	30	10
1627	4	-34
1628	29	21
1629	-41	-8
1630	-11	-15
1631	14	-30
1632	-22	33
1633	-24	36
1634	13	-38
1635	15	-31
1636	28	22
1637	2	39
1638	-1	-26
1639	-21	-8
1640	-23	-5
1641	31	-1
1642	43	-3
1643	-19	46
1644	-2	-26
1645	42	-1
1646	39	-10
1647	-40	10
1648	14	-38
1649	-21	44
1650	16	36
1651	-26	38
1652	42	0
1653	-42	-7
1654	-21	-8
1655	-24	20
1656	30	21
1657	5	-35
1658	-43	8
1659	-41	-8
1660	-26	37
1661	31	11
1662	-35	14
1663	5	-33
1664	44	-3
1665	26	-23
1666	31	21
1667	-2	-24
1668	-4	40
1669	25	23
1670	5	-35
1671	-34	15
1672	-41	-9
1673	15	-30
1674	-45	-2
1675	-19	47
1676	-46	-2
1677	42	0
1678	-19	47
1679	-35	13
1680	-3	-24
1681	-25	-6
1682	38	-12
1683	-25	-2
1684	-24	35
1685	0	41
1686	5	-35
1687	44	-3
1688	-27	37
1689	42	1
1690	-44	8
1691	31	-15
1692	30	20
1693	16	-30
1694	3	-34
1695	-19	48
1696	15	-37
1697	26	-24
1698	13	23
1699	-42	-8
1700	45	-3
1701	-1	-22
1702	41	-1
1703	-27	37
1704	-41	-9
1705	-1	40
1706	-21	44
1707	-18	48
1708	16	37
1709	31	20
1710	2	40
1711	6	-34
1712	11	36
1713	-18	49
1714	-4	41
1715	34	-14
1716	26	6
1717	-45	0
1718	-19	48
1719	18	21
1720	-33	16
1721	-47	-2
1722	-28	37
1723	-25	-7
1724	40	-10
1725	13	37
1726	-20	47
1727	6	-35
1728	-30	9
1729	2	-34
1730	38	-12
1731	-25	39
1732	16	-34
1733	21	-25
1734	21	-26
1735	-18	50
1736	-18	48
1737	17	36
1738	-41	-10
1739	-41	-10
1740	-23	-7
1741	6	-35
1742	-18	28
1743	40	-1
1744	-19	38
1745	13	-38
1746	24	-24
1747	26	-24
1748	0	41
1749	27	23
1750	17	-36
1751	-45	8
1752	13	38
1753	3	40
1754	40	-10
1755	44	-2
1756	-18	50
1757	38	-13
1758	2	-33
1759	34	-15
1760	28	22
1761	-23	34
1762	12	37
1763	18	-36
1764	14	37
1765	-42	-8
1766	-5	41
1767	42	1
1768	-47	-2
1769	-28	37
1770	2	-35
1771	40	-11
1772	-3	-24
1773	2	37
1774	17	37
1775	-43	-7
1776	-45	9
1777	45	-3
1778	12	-37
1779	38	-14
1780	29	12
1781	1	-33
1782	-40	-9
1783	-21	47
1784	18	37
1785	-45	0
1786	-40	11
1787	41	-11
1788	22	-26
1789	13	34
1790	-18	50
1791	45	-4
1792	0	41
1793	46	-4
1794	17	38
1795	-18	51
1796	27	-23
1797	19	-36
1798	42	-11
1799	-23	41
1800	46	-4
1801	13	39
1802	18	37
1803	4	-35
1804	26	-24
1805	23	-14
1806	47	-4
1807	-19	31
1808	-48	-2
1809	-17	46
1810	-21	48
1811	-17	50
1812	22	-27
1813	17	39
1814	-4	42
1815	-17	50
1816	-21	49
1817	1	-33
1818	-2	-22
1819	-45	8
1820	31	0
1821	16	35
1822	0	42
1823	43	1
1824	-29	37
1825	48	-4
1826	42	-11
1827	-44	-7
1828	38	-15
1829	19	37
1830	-36	14
1831	26	-22
1832	13	-39
1833	-12	-16
1834	4	-36
1835	-45	-7
1836	42	2
1837	2	41
1838	13	-40
1839	-34	10
1840	23	-27
1841	48	-3
1842	4	-36
1843	-22	48
1844	13	-40
1845	-49	-2
1846	2	42
1847	4	-37
1848	-28	38
1849	13	-41
1850	-21	-9
1851	34	-16
1852	-17	51
1853	-11	-15
1854	-23	33
1855	12	-40
1856	16	39
1857	-21	50
1858	-41	-10
1859	13	-42
1860	-18	39
1861	-19	51
1862	32	20
1863	-46	8
1864	-16	50
1865	-49	-2
1866	42	2
1867	-3	41
1868	7	-29
1869	31	0
1870	39	-15
1871	47	-5
1872	4	-38
1873	2	43
1874	-11	-16
1875	42	2
1876	4	-38
1877	-15	-10
1878	23	-28
1879	17	-37
1880	-49	-1
1881	-21	50
1882	-49	-2
1883	-17	51
1884	-44	1
1885	-41	11
1886	-29	38
1887	48	-2
1888	20	-36
1889	19	38
1890	41	1
1891	-45	-7
1892	-41	-11
1893	3	40
